Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,p,q,r,Roll ,Pitch,Yaw  ,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Nav Roll,Nav Pitch,Nav Roll Rate,Nav Pitch Rate,Nav Yaw Rate,Roll Error,Pitch Error,Yaw Error,velLL X Error,velLL Y Error,velLL Z Error,Alt Error (m),Ctrl PMW [0],Ctrl PMW [1],Ctrl PMW [2],Ctrl PMW [3],Ctrl rollCmd,Ctrl pitchCmd,Ctrl yawRateCmd,Ctrl VLLzCmd,Ctrl hCmd,
22.500000,1.323774,-0.104272,-0.102008,0.531835,-0.104145,0.130291,0.020393,-0.073518,0.089585,80.889647,1.347787,-0.001004,0.006075,0.512349,-2.834315,-0.358898,-0.154169,0.201068,0.115942,-2.761677,-0.447401,-81.077949,0.103268,0.108083,-0.019485,-0.119358,1519.000000,1566.000000,1518.000000,1572.000000,-2.824672,-0.355129,0.000000,0.510000,2.516792,
23.000000,1.058443,-0.111568,-0.108231,0.532571,-0.076967,0.131431,0.018537,-0.077511,0.092152,80.885150,1.092762,-0.000954,0.005346,0.512265,-2.836319,-0.359187,-0.123635,0.210610,0.117851,-2.759429,-0.450217,-81.080052,0.110614,0.113578,-0.020305,-0.129658,1510.000000,1574.000000,1510.000000,1580.000000,-2.823593,-0.355398,0.000000,0.510000,2.516792,
23.500000,0.792728,-0.119040,-0.114559,0.533255,-0.080480,0.123778,0.020142,-0.077362,0.094457,80.880482,0.837760,-0.000856,0.004697,0.512121,-2.833914,-0.359699,-0.123635,0.206793,0.114034,-2.757200,-0.453096,-81.082249,0.118183,0.119256,-0.021135,-0.140364,1518.000000,1566.000000,1518.000000,1572.000000,-2.822165,-0.354841,0.000000,0.510000,2.516792,
24.000000,0.526681,-0.126768,-0.120951,0.534063,-0.100722,0.133976,0.019002,-0.080174,0.098477,80.875642,0.582804,-0.000752,0.004192,0.512191,-2.834351,-0.358731,-0.150353,0.222060,0.112125,-2.755014,-0.456043,-81.084485,0.126015,0.125143,-0.021872,-0.151448,1518.000000,1566.000000,1518.000000,1572.000000,-2.821968,-0.353953,0.000000,0.510000,2.516792,
24.500000,0.260161,-0.134811,-0.127520,0.534986,-0.075110,0.130426,0.018569,-0.081412,0.101749,80.871252,0.327754,-0.000712,0.003704,0.512260,-2.833588,-0.358352,-0.135085,0.208701,0.117851,-2.752825,-0.458999,-81.086697,0.134099,0.131224,-0.022725,-0.162910,1510.000000,1574.000000,1509.000000,1580.000000,-2.821113,-0.353887,0.000000,0.510000,2.516792,
25.000000,0.101360,-0.029377,-0.012446,-0.011993,-3.062252,3.947725,3.243659,-0.631370,0.609581,81.261655,0.185991,0.120981,0.116729,-0.086541,-3.366352,0.138377,-3.266765,4.033129,3.289606,-2.762070,-0.436387,-81.108679,0.150358,0.129175,-0.074548,-0.184734,1407.000000,1631.000000,1409.000000,1494.000000,-4.547905,1.469482,0.000000,0.510000,2.516792,
25.500000,0.098818,0.008384,0.011158,0.000073,0.000631,0.000592,0.048738,-0.000017,-0.000017,82.016537,0.221941,0.164331,0.130437,-0.076886,-2.760548,-0.405526,-0.110276,0.132365,0.173194,-2.760524,-0.405502,-81.088029,0.155947,0.119279,-0.076959,-0.223122,1100.000000,1100.000000,1100.000000,1100.000000,-1.898146,2.426693,0.000000,0.510000,2.516792,
26.000000,0.098815,0.008389,0.011154,-0.000000,0.000000,0.000000,0.048738,-0.000000,0.000000,82.040906,0.260564,0.168075,0.135946,-0.076713,-2.758666,-0.406879,-0.110276,0.132365,0.173194,-2.758665,-0.406879,-81.090519,0.159686,0.124792,-0.076713,-0.261749,1100.000000,1100.000000,1100.000000,1100.000000,-1.978985,2.481627,0.000000,0.510000,2.516792,
26.500000,0.098815,0.008394,0.011151,-0.000000,-0.000000,-0.000000,0.048738,-0.000000,0.000000,82.065275,0.299058,0.171939,0.141620,-0.076445,-2.756784,-0.408271,-0.110276,0.132365,0.173194,-2.756784,-0.408272,-81.093008,0.163545,0.130469,-0.076445,-0.300243,1100.000000,1100.000000,1100.000000,1100.000000,-2.062254,2.538329,0.000000,0.510000,2.516792,
27.000000,0.098815,0.008399,0.011147,-0.000000,0.000000,0.000000,0.048738,-0.000000,0.000000,82.089644,0.337418,0.175924,0.147454,-0.076176,-2.754903,-0.409665,-0.110276,0.132365,0.173194,-2.754903,-0.409665,-81.095496,0.167526,0.136307,-0.076176,-0.338603,1100.000000,1100.000000,1100.000000,1100.000000,-2.147869,2.596816,0.000000,0.510000,2.516792,
27.500000,0.098815,0.008403,0.011144,-0.000000,0.000000,0.000000,0.048738,-0.000000,0.000000,82.114013,0.226445,-0.001401,0.001305,-0.016205,-2.723881,-0.490296,-0.113248,0.135817,0.172939,-2.723881,-0.490296,-81.120282,-0.009804,-0.009839,-0.016205,-0.227630,1100.000000,1100.000000,1100.000000,1100.000000,-0.005199,-0.002966,0.000000,0.510000,2.516792,
28.000000,0.098815,0.008408,0.011140,-0.000000,-0.000000,0.000000,0.048738,-0.000000,0.000000,82.138382,0.234415,-0.010928,-0.004393,-0.014856,-2.723515,-0.489984,-0.113248,0.135817,0.172939,-2.723515,-0.489984,-81.122980,-0.019336,-0.015533,-0.014856,-0.235600,1100.000000,1100.000000,1100.000000,1100.000000,0.078479,-0.142848,0.000000,0.510000,2.516792,
28.500000,0.098815,0.008413,0.011137,-0.000000,0.000000,0.000000,0.048738,-0.000000,0.000000,82.162751,0.283637,-0.010579,-0.005282,-0.006685,-2.675308,-0.494301,-0.113255,0.135738,0.172791,-2.675308,-0.494301,-81.133166,-0.018992,-0.016418,-0.006684,-0.284822,1100.000000,1100.000000,1100.000000,1100.000000,0.091531,-0.137864,0.000000,0.510000,2.516792,
29.000000,0.098815,0.008418,0.011133,-0.000000,-0.000000,-0.000000,0.048738,-0.000000,0.000000,82.187120,0.286818,-0.019686,-0.010914,-0.005222,-2.674947,-0.494050,-0.113255,0.135738,0.172791,-2.674946,-0.494050,-81.135936,-0.028104,-0.022047,-0.005222,-0.288003,1100.000000,1100.000000,1100.000000,1100.000000,0.174253,-0.271576,0.000000,0.510000,2.516792,
29.500000,0.098815,0.008422,0.011129,-0.000000,-0.000000,-0.000000,0.048738,-0.000000,0.000000,82.211489,0.267482,-0.015360,-0.009135,-0.000141,-2.603361,-0.464133,-0.113025,0.135359,0.172479,-2.603361,-0.464133,-81.154159,-0.023783,-0.020265,-0.000141,-0.268667,1100.000000,1100.000000,1100.000000,1100.000000,0.148416,-0.208579,0.000000,0.510000,2.516792,
30.000000,0.098815,0.008427,0.011126,-0.000000,0.000000,0.000000,0.048738,-0.000000,0.000000,82.235859,0.267377,-0.022732,-0.013691,0.001384,-2.602872,-0.464105,-0.113025,0.135359,0.172479,-2.602872,-0.464105,-81.157077,-0.031160,-0.024817,0.001384,-0.268562,1100.000000,1100.000000,1100.000000,1100.000000,0.215330,-0.316827,0.000000,0.510000,2.516792,
